"date","close","volume","open","high","low"
"2016/10/04","128.1900","14294610.0000","129.1700","129.2765","127.5499"
"2016/10/03","128.7700","13134510.0000","128.3800","129.0900","127.8000"
"2016/09/30","128.2700","18392040.0000","128.0300","128.5900","127.4500"
"2016/09/29","128.0900","14489880.0000","129.1800","129.2900","127.5500"
"2016/09/28","129.2300","12035720.0000","129.2100","129.4700","128.4000"
"2016/09/27","128.6900","15600130.0000","127.6100","129.0100","127.4300"
"2016/09/26","127.3100","15041370.0000","127.3700","128.1600","126.8000"
"2016/09/23","127.9600","28293920.0000","127.5600","128.6000","127.3000"
"2016/09/22","130.0800","15358850.0000","130.5000","130.7300","129.5600"
"2016/09/21","129.9400","14045780.0000","129.1300","130.0050","128.3900"
"2016/09/20","128.6400","11076150.0000","128.6500","129.1700","128.0307"
"2016/09/19","128.6500","14927990.0000","129.9100","129.9400","128.2600"
"2016/09/16","129.0700","24083560.0000","128.2000","129.1800","128.2000"
"2016/09/15","128.3500","15084660.0000","127.9800","129.1000","127.6700"
"2016/09/14","127.7700","15712050.0000","126.8900","128.8000","126.8900"
"2016/09/13","127.2100","17987510.0000","128.0300","128.3500","126.6600"
"2016/09/12","128.6900","21159830.0000","125.9600","128.7600","125.7500"
"2016/09/09","127.1000","26963940.0000","129.7100","129.9490","127.1000"
"2016/09/08","130.2700","15655250.0000","130.9200","131.0800","129.8100"
"2016/09/07","131.0500","27942000.0000","130.0400","131.9800","129.9500"
"2016/09/06","129.7300","26241480.0000","126.6700","129.9400","126.4700"
"2016/09/02","126.5100","12074470.0000","126.8500","126.8600","126.0000"
"2016/09/01","126.1700","13522260.0000","126.3800","126.6300","125.6000"
"2016/08/31","126.1200","14183190.0000","125.6000","126.2200","125.1000"
"2016/08/30","125.8400","17778300.0000","126.6000","126.6000","125.1500"
"2016/08/29","126.5400","15901270.0000","124.3500","126.7300","124.3500"
"2016/08/26","124.9600","17467840.0000","124.0500","125.1900","123.9100"
"2016/08/25","123.8900","10720680.0000","123.1200","124.3700","123.1000"
"2016/08/24","123.4800","12226720.0000","124.4700","124.6900","123.0900"
"2016/08/23","124.3700","13302050.0000","124.5100","125.0900","124.2500"
"2016/08/22","124.1500","14377070.0000","123.3300","124.8300","123.1100"
"2016/08/19","123.5600","11582430.0000","123.6000","124.1570","123.2800"
"2016/08/18","123.9100","12378280.0000","124.0100","124.2600","123.6400"
"2016/08/17","124.3700","13759700.0000","123.6600","124.3800","122.8500"
"2016/08/16","123.3000","14209580.0000","123.5000","123.9200","122.7800"
"2016/08/15","123.9000","19280400.0000","124.9100","124.9200","123.7000"
"2016/08/12","124.8800","12146150.0000","124.7000","125.0000","124.1800"
"2016/08/11","124.9000","11708610.0000","125.2000","125.3800","124.7500"
"2016/08/10","124.8800","10645370.0000","125.0700","125.4800","124.5400"
"2016/08/09","125.0600","19587330.0000","125.3400","126.0900","124.5300"
"2016/08/08","125.2600","15216950.0000","125.2500","125.4500","124.5500"
"2016/08/05","125.1500","20144810.0000","124.9800","125.8350","124.6184"
"2016/08/04","124.3600","21052200.0000","122.9400","124.7900","122.5100"
"2016/08/03","122.5100","18479970.0000","123.0900","123.9200","122.3100"
"2016/08/02","123.0900","23919790.0000","124.0600","124.8000","122.0700"
"2016/08/01","124.3100","24986020.0000","123.8500","124.5800","122.8600"
"2016/07/29","123.9400","34943890.0000","124.6500","125.8400","123.7100"
"2016/07/28","125.0000","78673980.0000","127.5200","128.3300","123.6300"
"2016/07/27","123.3400","50218420.0000","122.4200","125.0000","121.5100"
"2016/07/26","121.2200","17417060.0000","122.0000","122.0700","120.7500"
"2016/07/25","121.6300","18453230.0000","121.3900","121.8500","117.7800"
"2016/07/22","121.0000","18363590.0000","119.9000","121.0100","119.3100"
"2016/07/21","120.6100","17787630.0000","121.9200","122.1000","120.2500"
"2016/07/20","121.9200","19991920.0000","121.2500","122.2000","120.5600"
"2016/07/19","120.6100","21502910.0000","118.9900","120.8500","118.6600"
"2016/07/18","119.3700","20816900.0000","117.3200","119.6100","116.8900"
"2016/07/15","116.8600","16601530.0000","117.7400","118.2800","116.5800"
"2016/07/14","117.2900","14554060.0000","117.5000","117.6400","116.7000"
"2016/07/13","116.7800","16180680.0000","118.3900","118.4000","116.6800"
"2016/07/12","117.9300","15084590.0000","118.6300","118.7200","117.5700"
"2016/07/11","117.8700","17613670.0000","117.7100","118.7000","117.5000"
"2016/07/08","117.2400","18117330.0000","116.4300","117.5000","115.8500"
"2016/07/07","115.8500","16612350.0000","116.6300","116.9700","115.3600"
"2016/07/06","116.7000","24318520.0000","113.3600","116.7900","112.9700"
"2016/07/05","114.0000","14206220.0000","113.9400","114.1100","112.9700"
"2016/07/01","114.1900","14955080.0000","114.2000","115.1300","113.8100"
"2016/06/30","114.2800","23159510.0000","114.6700","115.1800","113.6700"
"2016/06/29","114.1600","20935530.0000","113.3700","114.2500","113.0400"
"2016/06/28","112.7000","26772900.0000","110.6300","112.7500","110.5500"
"2016/06/27","108.9700","36172810.0000","111.5700","111.5700","108.2300"
"2016/06/24","112.0800","40555840.0000","111.0100","113.6800","111.0000"
"2016/06/23","115.0800","16096460.0000","114.3700","115.0900","113.5400"
"2016/06/22","113.9100","14811570.0000","114.6500","114.7400","113.6100"
"2016/06/21","114.3800","18997270.0000","114.1200","115.2142","113.9700"
"2016/06/20","113.3700","20746500.0000","113.7700","114.7200","112.7500"
"2016/06/17","113.0200","24410770.0000","114.4200","114.4300","112.5600"
"2016/06/16","114.3900","19207560.0000","113.8700","114.5000","112.9400"
"2016/06/15","114.6000","19789270.0000","115.3000","115.4400","114.0700"
"2016/06/14","114.9400","17573960.0000","114.0700","114.9500","113.5800"
"2016/06/13","113.9500","31675970.0000","115.0000","115.4800","113.3100"
"2016/06/10","116.6200","18474380.0000","117.5400","118.1100","116.2600"
"2016/06/09","118.5600","13842230.0000","118.1300","118.6800","117.7100"
"2016/06/08","118.3900","14493990.0000","117.7600","118.6000","117.2700"
"2016/06/07","117.7600","17069990.0000","119.2400","119.3000","117.6700"
"2016/06/06","118.7900","12721610.0000","118.6200","119.4300","118.3600"
"2016/06/03","118.4700","14115480.0000","118.9750","118.9800","117.8600"
"2016/06/02","118.9300","13216260.0000","118.6900","119.4400","118.2200"
"2016/06/01","118.7800","15003570.0000","118.5000","119.0800","117.8200"
"2016/05/31","118.8100","23526050.0000","119.4600","120.1000","118.1210"
"2016/05/27","119.3800","13476050.0000","119.5600","119.8500","119.0100"
